admin1,week,protest_count,repression_events,repression_fatalities,protest_count_t1,repression_t
Bali,2023-03-26,1,0,0,0,0
Bali,2023-04-02,0,0,0,1,0
Bali,2023-04-09,1,0,0,0,0
Bali,2023-04-16,0,0,0,1,0
Bali,2023-04-23,1,0,0,3,0
Bali,2023-04-30,3,0,0,0,0
Bali,2023-05-07,0,0,0,0,0
Bali,2023-05-14,0,0,0,0,0
Bali,2023-05-21,0,0,0,0,0
Bali,2023-05-28,0,0,0,2,0
Bali,2023-06-04,2,0,0,0,0
Bali,2023-06-11,0,0,0,1,0
Bali,2023-06-18,1,0,0,1,0
Bali,2023-06-25,1,0,0,1,0
Bali,2023-07-02,1,0,0,0,0
Bali,2023-07-09,0,0,0,1,0
Bali,2023-07-16,1,0,0,0,0
Bali,2023-07-23,0,0,0,0,0
Bali,2023-07-30,0,0,0,0,0
Bali,2023-08-06,0,0,0,1,0
Bali,2023-08-13,1,0,0,0,0
Bali,2023-08-20,0,0,0,1,0
Bali,2023-08-27,1,0,0,1,0
Bali,2023-09-03,1,0,0,0,0
Bali,2023-09-10,0,0,0,0,0
Bali,2023-09-17,0,0,0,0,0
Bali,2023-09-24,0,0,0,0,0
Bali,2023-10-01,0,0,0,0,0
Bali,2023-10-08,0,0,0,0,0
Bali,2023-10-15,0,0,0,1,0
Bali,2023-10-22,1,0,0,1,0
Bali,2023-10-29,1,0,0,0,0
Bali,2023-11-05,0,0,0,0,0
Bali,2023-11-12,0,0,0,1,0
Bali,2023-11-19,1,0,0,1,0
Bali,2023-11-26,1,0,0,0,0
Bali,2023-12-03,0,0,0,0,0
Bali,2023-12-10,0,0,0,0,0
Bali,2023-12-17,0,0,0,0,0
Bali,2023-12-24,0,0,0,2,0
Bali,2023-12-31,2,0,0,0,0
Bali,2024-01-07,0,0,0,1,0
Bali,2024-01-14,1,0,0,0,0
Bali,2024-01-21,0,0,0,0,0
Bali,2024-01-28,0,0,0,0,0
Bali,2024-02-04,0,0,0,2,0
Bali,2024-02-11,2,0,0,3,0
Bali,2024-02-18,3,0,0,0,0
Bali,2024-02-25,0,0,0,0,0
Bali,2024-03-03,0,0,0,0,0
Bali,2024-03-10,0,0,0,0,0
Bali,2024-03-17,0,0,0,0,0
Bali,2024-03-24,0,0,0,1,0
Bali,2024-03-31,1,1,0,0,1
Bali,2024-04-07,0,0,0,0,0
Bali,2024-04-14,0,0,0,0,0
Bali,2024-04-21,0,0,0,2,0
Bali,2024-04-28,2,0,0,1,0
Bali,2024-05-05,1,0,0,0,0
Bali,2024-05-12,0,0,0,0,0
Bali,2024-05-19,0,0,0,1,0
Bali,2024-05-26,1,0,0,0,0
Bali,2024-06-02,0,0,0,2,0
Bali,2024-06-09,2,1,0,1,1
Bali,2024-06-16,1,0,0,0,0
Bali,2024-06-23,0,0,0,1,0
Bali,2024-06-30,1,0,0,0,0
Bali,2024-07-07,0,0,0,0,0
Bali,2024-07-14,0,0,0,2,0
Bali,2024-07-21,2,0,0,1,0
Bali,2024-07-28,1,0,0,1,0
Bali,2024-08-04,1,0,0,1,0
Bali,2024-08-11,1,0,0,4,0
Bali,2024-08-18,4,0,0,1,0
Bali,2024-08-25,1,0,0,0,0
Bali,2024-09-01,0,0,0,0,0
Bali,2024-09-08,0,0,0,0,0
Bali,2024-09-15,0,0,0,0,0
Bali,2024-09-22,0,0,0,0,0
Bali,2024-09-29,0,0,0,0,0
Bali,2024-10-06,0,0,0,0,0
Bali,2024-10-13,0,0,0,0,0
Bali,2024-10-20,0,0,0,0,0
Bali,2024-10-27,0,0,0,1,0
Bali,2024-11-03,1,0,0,0,0
Bali,2024-11-10,0,0,0,0,0
Bali,2024-11-17,0,0,0,0,0
Bali,2024-11-24,0,0,0,0,0
Bali,2024-12-01,0,0,0,0,0
Bali,2024-12-08,0,0,0,2,0
Bali,2024-12-15,2,0,0,1,0
Bali,2024-12-22,1,0,0,0,0
Bali,2024-12-29,0,0,0,1,0
Bali,2025-01-05,1,0,0,0,0
Bali,2025-01-12,0,0,0,0,0
Bali,2025-01-19,0,0,0,3,0
Bali,2025-01-26,3,0,0,NA,0
Bangka-Belitung,2019-01-06,0,0,0,0,0
Bangka-Belitung,2019-01-13,0,0,0,0,0
Bangka-Belitung,2019-01-20,0,0,0,0,0
Bangka-Belitung,2019-01-27,0,0,0,0,0
Bangka-Belitung,2019-02-03,0,0,0,0,0
